,,,bin_number,relative_num,adc_min,adc_max,energy_min,energy_max
1,0,,1,1,0,468,9.496952192,20.72748115
2,,781,2,2,468,781,20.72748115,29.99510182
2,781,,3,1,781,811,29.99510182,30.87587749
,,,4,2,811,839,30.87587749,31.69675196
,,,5,3,839,873,31.69675196,32.69199274
,,,6,4,873,929,32.69199274,34.327542
,,,7,5,929,968,34.327542,35.46388671
,,,8,6,968,1018,35.46388671,36.91749776
,,,9,7,1018,1053,36.91749776,37.93285867
,,,10,8,1053,1134,37.93285867,40.27585039
,,,11,9,1134,1183,40.27585039,41.68857619
,,,12,10,1183,1239,41.68857619,43.29883729
,,,13,11,1239,1313,43.29883729,45.41967563
,,,14,12,1313,1338,45.41967563,46.13437241
,,,15,13,1338,1391,46.13437241,49.19912673
,,,16,14,1391,1444,49.19912673,50.7230853
,,,17,15,1444,1555,50.7230853,55.51761421
3,,1590,18,16,1555,1590,55.51761421,56.53511324
3,1590,,19,1,1590,1677,56.53511324,59.0649204
,,,20,2,1677,1785,59.0649204,62.20655181
,,,21,3,1785,1830,62.20655181,63.51595104
,,,22,4,1830,1848,63.51595104,64.03977433
,,,23,5,1848,1919,64.03977433,66.1063206
,,,24,6,1919,1971,66.1063206,67.62020617
,,,25,7,1971,1989,67.62020617,68.14431415
,,,26,8,1989,2018,68.14431415,68.98878678
,,,27,9,2018,2053,68.98878678,70.00810352
,,,28,10,2053,2082,70.00810352,70.85278433
,,,29,11,2082,2114,70.85278433,71.7849554
,,,30,12,2114,2154,71.7849554,72.95033076
,,,31,13,2154,2175,72.95033076,73.56222467
,,,32,14,2175,2183,73.56222467,73.79534012
4,,2211,33,15,2183,2211,73.79534012,74.61130074
4,2211,,34,1,2211,2232,74.61130074,75.22332892
,,,35,2,2232,2252,75.22332892,75.80625888
,,,36,3,2252,2283,75.80625888,76.709889
,,,37,4,2283,2297,76.709889,77.11801535
,,,38,5,2297,2327,77.11801535,77.99264586
,,,39,6,2327,2351,77.99264586,78.69242295
,,,40,7,2351,2386,78.69242295,79.71304702
,,,41,8,2386,2409,79.71304702,80.38381765
,,,42,9,2409,2438,80.38381765,81.22965651
,,,43,10,2438,2470,81.22965651,82.16310541
,,,44,11,2470,2500,82.16310541,83.03831808
,,,45,12,2500,2583,83.03831808,85.4602658
,,,46,13,2583,2606,85.4602658,86.13154467
,,,47,14,2606,2639,86.13154467,87.09478757
,,,48,15,2639,2700,87.09478757,88.87564907
5,,2781,49,16,2700,2781,88.87564907,91.24104466
5,2781,,50,1,2781,2863,91.24104466,93.6363923
,,,51,2,2863,2938,93.6363923,95.82791944
,,,52,3,2938,3005,95.82791944,97.78621728
,,,53,4,3005,3170,97.78621728,102.611038
,,,54,5,3170,3348,102.611038,107.8194203
,,,55,6,3348,3446,107.8194203,110.6884736
,,,56,7,3446,3751,110.6884736,119.6245637
,,,57,8,3751,4043,119.6245637,128.1895482
,,,58,9,4043,4609,128.1895482,144.818775
,,,59,10,4609,5322,144.818775,165.8180452
,,,60,11,5322,5657,165.8180452,175.7041526
,,,61,12,5657,6471,175.7041526,199.7783735
,,,62,13,6471,7686,199.7783735,235.8505156
,,,63,14,7686,8321,235.8505156,254.7689198
6,,9618,64,15,8321,9618,254.7689198,293.5506701
6,9618,,65,1,9618,10085,293.5506701,307.5606943
,,,66,2,10085,11278,307.5606943,343.461825
,,,67,3,11278,11718,343.461825,356.74311
,,,68,4,11718,12316,356.74311,374.8283969
,,,69,5,12316,14040,374.8283969,427.1917649
,,,70,6,14040,16264,427.1917649,495.2341683
7,,18041,71,7,16264,18041,495.2341683,549.9995327
7,18041,,72,1,18041,18557,549.9995327,565.9684959
,,,73,2,18557,19263,565.9684959,587.8658897
,,,74,3,19263,20187,587.8658897,616.6092721
,,,75,4,20187,21782,616.6092721,666.4511625
,,,76,5,21782,23691,666.4511625,726.4803452
,,,77,6,23691,26294,726.4803452,808.9913044
8,,32230,78,7,26294,32230,808.9913044,999.9958562
8,32230,,79,1,32230,64515,999.9958562,2108.047109
9,,65535,80,2,64515,65535,2108.047109,2144.959718
